Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,2urvived,Embarked_1.0,Embarked_2.0,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Teen,FamilySize,IsAlone,Fare_log
36,42.0,52.0,0,1,0,1,0,False,True,False,False,False,2,0,3.970291913552122
37,28.0,7.2292,0,0,0,3,1,False,False,False,False,False,1,1,2.1076888046179385
38,21.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
39,18.0,18.0,1,2,0,3,0,False,True,False,False,False,3,0,2.9444389791664403
40,14.0,11.2417,1,1,0,3,1,False,False,False,False,True,2,0,2.5048481563289
41,40.0,9.475,1,1,0,3,0,False,True,False,False,False,2,0,2.348991465808201
42,27.0,21.0,1,1,0,2,0,False,True,False,False,False,2,0,3.091042453358316
43,28.0,7.8958,0,0,0,3,0,False,False,False,False,False,1,1,2.1855792552411137
44,3.0,41.5792,1,1,2,2,1,False,False,True,False,False,4,0,3.7513658711253766
45,19.0,7.8792,1,0,0,3,1,True,False,False,False,False,1,1,2.1837114628556327
46,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
47,28.0,15.5,0,1,0,3,0,True,False,False,False,False,2,0,2.803360380906535
48,28.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
49,28.0,21.6792,0,2,0,3,0,False,False,False,False,False,3,0,3.1214482048688246
50,18.0,17.8,1,1,0,3,0,False,True,False,False,False,2,0,2.9338568698359038
51,7.0,39.6875,0,4,1,3,0,False,True,True,False,False,6,0,3.705920919968788
52,21.0,7.8,0,0,0,3,0,False,True,False,False,False,1,1,2.174751721484161
53,49.0,76.7292,1,1,0,1,1,False,False,False,False,False,2,0,4.353230991152628
54,29.0,26.0,1,1,0,2,1,False,True,False,False,False,2,0,3.295836866004329
55,65.0,61.9792,0,0,1,1,0,False,False,False,True,False,2,0,4.142804513146981
56,28.0,35.5,0,0,0,1,1,False,True,False,False,False,1,1,3.597312260588446
57,21.0,10.5,1,0,0,2,1,False,True,False,False,False,1,1,2.4423470353692043
58,28.5,7.2292,0,0,0,3,0,False,False,False,False,False,1,1,2.1076888046179385
59,5.0,27.75,1,1,2,2,1,False,True,True,False,False,4,0,3.3586377672433594
60,11.0,46.9,0,5,2,3,0,False,True,True,False,False,8,0,3.8691155044168695
61,22.0,7.2292,0,0,0,3,0,False,False,False,False,False,1,1,2.1076888046179385
62,38.0,80.0,1,0,0,1,1,False,True,False,False,False,1,1,4.394449154672439
63,45.0,83.475,0,1,0,1,0,False,True,False,False,False,2,0,4.436455632600354
64,4.0,27.9,0,3,2,3,0,False,True,True,False,False,6,0,3.3638415951183864
65,28.0,27.7208,0,0,0,1,0,False,False,False,False,False,1,1,3.357621598945279
66,28.0,15.2458,0,1,1,3,1,False,False,False,False,False,3,0,2.7878344138303452
67,29.0,10.5,1,0,0,2,1,False,True,False,False,False,1,1,2.4423470353692043
68,19.0,8.1583,0,0,0,3,0,False,True,False,False,False,1,1,2.2146605719425225
69,17.0,7.925,1,4,2,3,1,False,True,False,False,True,7,0,2.188856327665703
70,26.0,8.6625,0,2,0,3,0,False,True,False,False,False,3,0,2.2682524139135403
71,32.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
72,16.0,46.9,1,5,2,3,0,False,True,False,False,True,8,0,3.8691155044168695
73,21.0,73.5,0,0,0,2,0,False,True,False,False,False,1,1,4.310799125385514
74,26.0,14.4542,0,1,0,3,0,False,False,False,False,False,2,0,2.737880811060884
75,32.0,56.4958,0,0,0,3,1,False,True,False,False,False,1,1,4.05171190165724
76,25.0,7.65,0,0,0,3,0,False,True,False,False,False,1,1,2.157559320943788
77,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
78,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
79,0.83,29.0,0,0,2,2,1,False,True,True,False,False,3,0,3.4011973816621555
80,30.0,12.475,1,0,0,3,1,False,True,False,False,False,1,1,2.600836116795061
81,22.0,9.0,0,0,0,3,0,False,True,False,False,False,1,1,2.302585092994046
82,29.0,9.5,0,0,0,3,1,False,True,False,False,False,1,1,2.3513752571634776
83,28.0,7.7875,1,0,0,3,1,True,False,False,False,False,1,1,2.1733302571367834
84,28.0,47.1,0,0,0,1,0,False,True,False,False,False,1,1,3.8732821771117156
85,17.0,10.5,1,0,0,2,1,False,True,False,False,True,1,1,2.4423470353692043
86,33.0,15.85,1,3,0,3,1,False,True,False,False,False,4,0,2.8243506567983707
87,16.0,34.375,0,1,3,3,0,False,True,False,False,True,5,0,3.5660053559634015
88,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
89,23.0,263.0,1,3,2,1,1,False,True,False,False,False,6,0,5.575949103146316
90,24.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
91,29.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
92,20.0,7.8542,0,0,0,3,0,False,True,False,False,False,1,1,2.180891922715322
93,46.0,61.175,0,1,0,1,0,False,True,False,False,False,2,0,4.1299529896894684
94,26.0,20.575,0,1,2,3,0,False,True,False,False,False,4,0,3.0715352369694915
95,59.0,7.25,0,0,0,3,0,False,True,False,False,False,1,1,2.1102132003465894
96,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
97,71.0,34.6542,0,0,0,1,0,False,False,False,True,False,1,1,3.57386695198272
98,23.0,63.3583,0,0,1,1,1,False,False,False,False,False,2,0,4.164465907853638
99,34.0,23.0,1,0,1,2,1,False,True,False,False,False,2,0,3.1780538303479458
100,34.0,26.0,0,1,0,2,0,False,True,False,False,False,2,0,3.295836866004329
101,28.0,7.8958,1,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
102,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
103,21.0,77.2875,0,0,1,1,0,False,True,False,False,False,2,0,4.360387947851531
104,33.0,8.6542,0,0,0,3,0,False,True,False,False,False,1,1,2.267393053825037
105,37.0,7.925,0,2,0,3,0,False,True,False,False,False,3,0,2.188856327665703
106,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
107,21.0,7.65,1,0,0,3,1,False,True,False,False,False,1,1,2.157559320943788
108,28.0,7.775,0,0,0,3,1,False,True,False,False,False,1,1,2.1719067693519296
109,38.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
110,28.0,24.15,1,1,0,3,1,True,False,False,False,False,2,0,3.224857896545748
111,47.0,52.0,0,0,0,1,0,False,True,False,False,False,1,1,3.970291913552122
112,14.5,14.4542,1,1,0,3,0,False,False,False,False,True,2,0,2.737880811060884
113,22.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
114,20.0,9.825,1,1,0,3,0,False,True,False,False,False,2,0,2.3818582738885534
115,17.0,14.4583,1,0,0,3,0,False,False,False,False,True,1,1,2.738146075922933
116,21.0,7.925,0,0,0,3,0,False,True,False,False,False,1,1,2.188856327665703
117,70.5,7.75,0,0,0,3,0,True,False,False,True,False,1,1,2.169053700369523
118,29.0,21.0,0,1,0,2,0,False,True,False,False,False,2,0,3.091042453358316
119,24.0,247.5208,0,0,1,1,0,False,False,False,False,False,2,0,5.515526544247129
120,2.0,31.275,1,4,2,3,0,False,True,True,False,False,7,0,3.4742929367327062
121,21.0,73.5,0,2,0,2,0,False,True,False,False,False,3,0,4.310799125385514
122,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
123,32.5,30.0708,0,1,0,2,0,False,False,False,False,False,2,0,3.436268471383741
124,32.5,13.0,1,0,0,2,1,False,True,False,False,False,1,1,2.6390573296152584
125,54.0,77.2875,0,0,1,1,0,False,True,False,False,False,2,0,4.360387947851531
126,12.0,11.2417,0,1,0,3,1,False,False,False,False,True,2,0,2.5048481563289
127,28.0,7.75,0,0,0,3,0,True,False,False,False,False,1,1,2.169053700369523
128,24.0,7.1417,0,0,0,3,1,False,True,False,False,False,1,1,2.0969990034181696
129,28.0,22.3583,1,1,1,3,1,False,False,False,False,False,3,0,3.1509523813392697
130,45.0,6.975,0,0,0,3,0,False,True,False,False,False,1,1,2.076311648670908
131,33.0,7.8958,0,0,0,3,0,False,False,False,False,False,1,1,2.1855792552411137
132,20.0,7.05,0,0,0,3,0,False,True,False,False,False,1,1,2.0856720914304723
133,47.0,14.5,1,1,0,3,0,False,True,False,False,False,2,0,2.740840023925201
134,29.0,26.0,1,1,0,2,1,False,True,False,False,False,2,0,3.295836866004329
135,25.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
136,23.0,15.0458,0,0,0,2,0,False,False,False,False,False,1,1,2.775447133088262
137,19.0,26.2833,1,0,2,1,1,False,True,False,False,False,3,0,3.3062747934011893
138,37.0,53.1,0,1,0,1,0,False,True,False,False,False,2,0,3.9908341858524357
139,16.0,9.2167,0,0,0,3,0,False,True,False,False,True,1,1,2.3240236363515288
140,24.0,79.2,0,0,0,1,0,False,False,False,False,False,1,1,4.384523514872469
141,28.0,15.2458,1,0,2,3,0,False,False,False,False,False,3,0,2.7878344138303452
142,22.0,7.75,1,0,0,3,1,False,True,False,False,False,1,1,2.169053700369523
143,24.0,15.85,1,1,0,3,1,False,True,False,False,False,2,0,2.8243506567983707
144,19.0,6.75,0,0,0,3,0,True,False,False,False,False,1,1,2.0476928433652555
145,18.0,11.5,0,0,0,2,0,False,True,False,False,False,1,1,2.5257286443082556
146,19.0,36.75,0,1,1,2,0,False,True,False,False,False,3,0,3.6309854756950335
147,27.0,7.7958,0,0,0,3,1,False,True,False,False,False,1,1,2.174274334826008
148,9.0,34.375,1,2,2,3,0,False,True,True,False,False,5,0,3.5660053559634015
149,36.5,26.0,0,0,2,2,0,False,True,False,False,False,3,0,3.295836866004329
150,42.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
151,51.0,12.525,0,0,0,2,0,False,True,False,False,False,1,1,2.6045398247325453
152,22.0,66.6,1,1,0,1,1,False,True,False,False,False,2,0,4.213607983048918
153,55.5,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
154,40.5,14.5,0,0,2,3,0,False,True,False,False,False,3,0,2.740840023925201
155,28.0,7.3125,0,0,0,3,0,False,True,False,False,False,1,1,2.1177604059819726
156,51.0,61.3792,0,0,1,1,0,False,False,False,False,False,2,0,4.133231886474144
157,16.0,7.7333,1,0,0,3,1,True,False,False,False,True,1,1,2.167143305297764
158,30.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
159,28.0,8.6625,0,0,0,3,0,False,True,False,False,False,1,1,2.2682524139135403
160,28.0,69.55,0,8,2,3,0,False,True,False,False,False,11,0,4.256321678298823
161,44.0,16.1,0,0,1,3,0,False,True,False,False,False,2,0,2.8390784635086144
162,40.0,15.75,1,0,0,2,1,False,True,False,False,False,1,1,2.8183982582710754
163,26.0,7.775,0,0,0,3,0,False,True,False,False,False,1,1,2.1719067693519296
164,17.0,8.6625,0,0,0,3,0,False,True,False,False,True,1,1,2.2682524139135403
165,1.0,39.6875,0,4,1,3,0,False,True,True,False,False,6,0,3.705920919968788
166,9.0,20.525,0,0,2,3,1,False,True,True,False,False,3,0,3.0692150503137943
167,28.0,55.0,1,0,1,1,1,False,True,False,False,False,2,0,4.02535169073515
168,45.0,27.9,1,1,4,3,0,False,True,False,False,False,6,0,3.3638415951183864
169,28.0,25.925,0,0,0,1,0,False,True,False,False,False,1,1,3.2930552230424524
170,28.0,56.4958,0,0,0,3,0,False,True,False,False,False,1,1,4.05171190165724
171,61.0,33.5,0,0,0,1,0,False,True,False,True,False,1,1,3.5409593240373143
172,4.0,29.125,0,4,1,3,0,True,False,True,False,False,6,0,3.405355391810819
173,1.0,11.1333,1,1,1,3,1,False,True,True,False,False,3,0,2.495953738718064
174,21.0,7.925,0,0,0,3,0,False,True,False,False,False,1,1,2.188856327665703
175,56.0,30.6958,0,0,0,1,0,False,False,False,False,False,1,1,3.4561841799918147
176,18.0,7.8542,0,1,1,3,0,False,True,False,False,False,3,0,2.180891922715322
177,28.0,25.4667,0,3,1,3,0,False,True,False,False,False,5,0,3.275887339030031
178,50.0,28.7125,1,0,0,1,0,False,False,False,False,False,1,1,3.391567832686312
179,30.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
180,36.0,0.0,0,0,0,3,0,False,True,False,False,False,1,1,0.0
181,28.0,69.55,1,8,2,3,0,False,True,False,False,False,11,0,4.256321678298823
182,28.0,15.05,0,0,0,2,0,False,False,False,False,False,1,1,2.775708849576025
183,9.0,31.3875,0,4,2,3,0,False,True,True,False,False,7,0,3.4777725458882283
184,1.0,39.0,0,2,1,2,1,False,True,True,False,False,4,0,3.6888794541139363
185,4.0,22.025,1,0,2,3,1,False,True,True,False,False,3,0,3.1365805821413706
186,28.0,50.0,0,0,0,1,0,False,True,False,False,False,1,1,3.9318256327243257
187,28.0,15.5,1,1,0,3,1,True,False,False,False,False,2,0,2.803360380906535
188,45.0,26.55,0,0,0,1,1,False,True,False,False,False,1,1,3.3160025355989236
189,40.0,15.5,0,1,1,3,0,True,False,False,False,False,3,0,2.803360380906535
190,36.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
191,32.0,13.0,1,0,0,2,1,False,True,False,False,False,1,1,2.6390573296152584
192,19.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
193,19.0,7.8542,1,1,0,3,1,False,True,False,False,False,2,0,2.180891922715322
194,3.0,26.0,0,1,1,2,1,False,True,True,False,False,3,0,3.295836866004329
195,44.0,27.7208,1,0,0,1,1,False,False,False,False,False,1,1,3.357621598945279
196,58.0,146.5208,1,0,0,1,1,False,False,False,False,False,1,1,4.993969182787072
197,28.0,7.75,0,0,0,3,0,True,False,False,False,False,1,1,2.169053700369523
198,42.0,8.4042,0,0,1,3,0,False,True,False,False,False,2,0,2.2411563979973974
199,28.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
200,24.0,13.0,1,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
201,28.0,9.5,0,0,0,3,0,False,True,False,False,False,1,1,2.3513752571634776
202,28.0,69.55,0,8,2,3,0,False,True,False,False,False,11,0,4.256321678298823
203,34.0,6.4958,0,0,0,3,0,False,True,False,False,False,1,1,2.0143428636837015
204,45.5,7.225,0,0,0,3,0,False,False,False,False,False,1,1,2.1071782966514356
205,18.0,8.05,0,0,0,3,1,False,True,False,False,False,1,1,2.2027647577118348
206,2.0,10.4625,1,0,1,3,0,False,True,True,False,False,2,0,2.4390808375825834
207,32.0,15.85,0,1,0,3,0,False,True,False,False,False,2,0,2.8243506567983707
208,26.0,18.7875,0,0,0,3,1,False,False,False,False,False,1,1,2.9850504252071306
209,16.0,7.75,1,0,0,3,1,True,False,False,False,True,1,1,2.169053700369523
210,40.0,31.0,0,0,0,1,1,False,False,False,False,False,1,1,3.4657359027997265
211,24.0,7.05,0,0,0,3,0,False,True,False,False,False,1,1,2.0856720914304723
212,35.0,21.0,1,0,0,2,1,False,True,False,False,False,1,1,3.091042453358316
213,22.0,7.25,0,0,0,3,0,False,True,False,False,False,1,1,2.1102132003465894
214,30.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
215,28.0,7.75,0,1,0,3,0,True,False,False,False,False,2,0,2.169053700369523
216,31.0,113.275,1,1,0,1,1,False,False,False,False,False,2,0,4.738607824217808
217,27.0,7.925,1,0,0,3,1,False,True,False,False,False,1,1,2.188856327665703
218,42.0,27.0,0,1,0,2,0,False,True,False,False,False,2,0,3.332204510175204
219,32.0,76.2917,1,0,0,1,1,False,False,False,False,False,1,1,4.347586575960343
220,30.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
221,16.0,8.05,0,0,0,3,1,False,True,False,False,True,1,1,2.2027647577118348
222,27.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
223,51.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
224,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
225,38.0,90.0,0,1,0,1,1,False,True,False,False,False,2,0,4.51085950651685
226,22.0,9.35,0,0,0,3,0,False,True,False,False,False,1,1,2.336986519711378
227,19.0,10.5,0,0,0,2,1,False,True,False,False,False,1,1,2.4423470353692043
228,20.5,7.25,0,0,0,3,0,False,True,False,False,False,1,1,2.1102132003465894
229,18.0,13.0,0,0,0,2,0,False,True,False,False,False,1,1,2.6390573296152584
230,28.0,25.4667,1,3,1,3,0,False,True,False,False,False,5,0,3.275887339030031
231,35.0,83.475,1,1,0,1,1,False,True,False,False,False,2,0,4.436455632600354
232,29.0,7.775,0,0,0,3,0,False,True,False,False,False,1,1,2.1719067693519296
233,59.0,13.5,0,0,0,2,0,False,True,False,False,False,1,1,2.6741486494265287
234,5.0,31.3875,1,4,2,3,1,False,True,True,False,False,7,0,3.4777725458882283
235,24.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
236,28.0,7.55,1,0,0,3,0,False,True,False,False,False,1,1,2.145931282948669
237,44.0,26.0,0,1,0,2,0,False,True,False,False,False,2,0,3.295836866004329
238,8.0,26.25,1,0,2,2,1,False,True,True,False,False,3,0,3.305053521109253
239,19.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
240,33.0,12.275,0,0,0,2,0,False,True,False,False,False,1,1,2.5858825671280026
241,28.0,14.4542,1,1,0,3,0,False,False,False,False,False,2,0,2.737880811060884
242,28.0,15.5,1,1,0,3,1,True,False,False,False,False,2,0,2.803360380906535
243,29.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
244,22.0,7.125,0,0,0,3,0,False,True,False,False,False,1,1,2.094945728215801
245,30.0,7.225,0,0,0,3,0,False,False,False,False,False,1,1,2.1071782966514356
246,44.0,90.0,0,2,0,1,0,True,False,False,False,False,3,0,4.51085950651685
247,25.0,7.775,1,0,0,3,0,False,True,False,False,False,1,1,2.1719067693519296
248,24.0,14.5,1,0,2,2,1,False,True,False,False,False,3,0,2.740840023925201
249,37.0,52.5542,0,1,1,1,1,False,True,False,False,False,3,0,3.9806942251907276
250,54.0,26.0,0,1,0,2,0,False,True,False,False,False,2,0,3.295836866004329
251,28.0,7.25,0,0,0,3,0,False,True,False,False,False,1,1,2.1102132003465894
252,29.0,10.4625,1,1,1,3,0,False,True,False,False,False,3,0,2.4390808375825834
253,62.0,26.55,0,0,0,1,0,False,True,False,True,False,1,1,3.3160025355989236
254,30.0,16.1,0,1,0,3,0,False,True,False,False,False,2,0,2.8390784635086144
255,41.0,20.2125,1,0,2,3,0,False,True,False,False,False,3,0,3.0545906305603445
256,29.0,15.2458,1,0,2,3,1,False,False,False,False,False,3,0,2.7878344138303452
257,28.0,79.2,1,0,0,1,1,False,False,False,False,False,1,1,4.384523514872469
258,30.0,86.5,1,0,0,1,1,False,True,False,False,False,1,1,4.471638793363569
259,35.0,512.3292,1,0,0,1,1,False,False,False,False,False,1,1,6.240917354759096
260,50.0,26.0,1,0,1,2,1,False,True,False,False,False,2,0,3.295836866004329
261,28.0,7.75,0,0,0,3,0,True,False,False,False,False,1,1,2.169053700369523
262,3.0,31.3875,0,4,2,3,1,False,True,True,False,False,7,0,3.4777725458882283
263,52.0,79.65,0,1,1,1,0,False,True,False,False,False,3,0,4.390118804571218
264,40.0,0.0,0,0,0,1,0,False,True,False,False,False,1,1,0.0
265,28.0,7.75,1,0,0,3,0,True,False,False,False,False,1,1,2.169053700369523
266,36.0,10.5,0,0,0,2,0,False,True,False,False,False,1,1,2.4423470353692043
267,16.0,39.6875,0,4,1,3,0,False,True,False,False,True,6,0,3.705920919968788
268,25.0,7.775,0,1,0,3,1,False,True,False,False,False,2,0,2.1719067693519296
269,58.0,153.4625,1,0,1,1,1,False,True,False,False,False,2,0,5.039951348430309
270,35.0,135.6333,1,0,0,1,1,False,True,False,False,False,1,1,4.91730069488021
271,28.0,31.0,0,0,0,1,0,False,True,False,False,False,1,1,3.4657359027997265
272,25.0,0.0,0,0,0,3,1,False,True,False,False,False,1,1,0.0
273,41.0,19.5,1,0,1,2,1,False,True,False,False,False,2,0,3.0204248861443626
274,37.0,29.7,0,0,1,1,0,False,False,False,False,False,2,0,3.4242626545931514
275,28.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
276,63.0,77.9583,1,1,0,1,1,False,True,False,True,False,2,0,4.368919865004903
277,45.0,7.75,1,0,0,3,0,False,True,False,False,False,1,1,2.169053700369523
278,28.0,0.0,0,0,0,2,0,False,True,False,False,False,1,1,0.0
279,7.0,29.125,0,4,1,3,0,True,False,True,False,False,6,0,3.405355391810819
280,35.0,20.25,1,1,1,3,1,False,True,False,False,False,3,0,3.056356895370426
281,65.0,7.75,0,0,0,3,0,True,False,False,True,False,1,1,2.169053700369523
282,28.0,7.8542,0,0,0,3,0,False,True,False,False,False,1,1,2.180891922715322
283,16.0,9.5,0,0,0,3,0,False,True,False,False,True,1,1,2.3513752571634776
284,19.0,8.05,0,0,0,3,1,False,True,False,False,False,1,1,2.2027647577118348
285,28.0,26.0,0,0,0,1,0,False,True,False,False,False,1,1,3.295836866004329
286,33.0,8.6625,0,0,0,3,0,False,False,False,False,False,1,1,2.2682524139135403
287,30.0,9.5,0,0,0,3,1,False,True,False,False,False,1,1,2.3513752571634776
288,22.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
289,42.0,13.0,0,0,0,2,1,False,True,False,False,False,1,1,2.6390573296152584
290,22.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
291,26.0,78.85,1,0,0,1,1,False,True,False,False,False,1,1,4.380149874661021
292,19.0,91.0792,1,1,0,1,1,False,False,False,False,False,2,0,4.5226490762785785
293,36.0,12.875,0,0,0,2,0,False,False,False,False,False,1,1,2.630088659632498
294,24.0,8.85,1,0,0,3,0,False,True,False,False,False,1,1,2.2874714551839976
295,24.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
296,28.0,27.7208,0,0,0,1,0,False,False,False,False,False,1,1,3.357621598945279
297,23.5,7.2292,0,0,0,3,0,False,False,False,False,False,1,1,2.1076888046179385
298,2.0,151.55,1,1,2,1,0,False,True,True,False,False,4,0,5.027492411162679
299,28.0,30.5,0,0,0,1,1,False,True,False,False,False,1,1,3.449987545831587
300,50.0,247.5208,1,0,1,1,1,False,False,False,False,False,2,0,5.515526544247129
301,28.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
302,28.0,23.25,0,2,0,3,1,True,False,False,False,False,3,0,3.188416617383492
303,19.0,0.0,0,0,0,3,0,False,True,False,False,False,1,1,0.0
304,28.0,12.35,1,0,0,2,1,True,False,False,False,False,1,1,2.5915163848462583
305,28.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
306,0.92,151.55,0,1,2,1,1,False,True,True,False,False,4,0,5.027492411162679
307,28.0,110.8833,1,0,0,1,1,False,False,False,False,False,1,1,4.717456363787216
308,17.0,108.9,1,1,0,1,1,False,False,False,False,True,2,0,4.699570861409576
309,30.0,24.0,0,1,0,2,0,False,False,False,False,False,2,0,3.2188758248682006
310,30.0,56.9292,1,0,0,1,1,False,False,False,False,False,1,1,4.0592215752427645
311,24.0,83.1583,1,0,0,1,1,False,False,False,False,False,1,1,4.432699549165613
312,18.0,262.375,1,2,2,1,1,False,False,False,False,False,5,0,5.5735788721243535
313,26.0,26.0,1,1,1,2,0,False,True,False,False,False,3,0,3.295836866004329
314,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
315,43.0,26.25,0,1,1,2,0,False,True,False,False,False,3,0,3.305053521109253
316,26.0,7.8542,1,0,0,3,1,False,True,False,False,False,1,1,2.180891922715322
317,24.0,26.0,1,1,0,2,1,False,True,False,False,False,2,0,3.295836866004329
318,54.0,14.0,0,0,0,2,0,False,True,False,False,False,1,1,2.70805020110221
319,31.0,164.8667,1,0,2,1,1,False,True,False,False,False,3,0,5.11118445372147
320,40.0,134.5,1,1,1,1,1,False,False,False,False,False,3,0,4.908971640319756
321,22.0,7.25,0,0,0,3,0,False,True,False,False,False,1,1,2.1102132003465894
322,27.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
